Department,Year,Budget,Actual Expenditure,Personnel Costs,Operational Costs,Capital Expenditures,Overtime Costs,Travel and Training,Supplies and Materials,Maintenance Costs,Revenue Generated,Efficiency Metrics,Notes
Marketing,2023,254249,254249,43266,70766,14177,19531,7313,17050,9616,98482,1.110013105617738,High overtime costs
HR,2023,255538,90751,84555,31400,39573,2193,14030,12275,14867,56764,1.1912149849107379,Increased maintenance
Operations,2024,247865,247865,82995,34641,26431,15762,9512,19478,14969,57091,0.908858288240252,High overtime costs
HR,2023,350282,158750,98277,62233,26924,18930,19045,26797,5252,53335,0.6089516223641738,Additional training expenses
HR,2022,471973,124180,122345,79833,39864,4655,1664,9372,13052,86860,1.0402267088083785,-
IT,2023,251466,251466,116111,29332,17493,17606,17909,10611,8166,11658,1.1978379407348227,High overtime costs
Operations,2023,237223,237223,85402,25201,10337,5019,14750,22970,14906,98331,0.8315451613191995,Increased maintenance
Operations,2022,422884,343788,143747,55382,21035,3574,3654,23707,15242,47089,0.7686129369208172,Additional training expenses
HR,2023,161174,83521,192805,56129,28318,6546,13733,5233,5695,92856,0.8867504521404832,High overtime costs
IT,2024,361416,61564,34418,43808,47305,19407,18951,12916,15285,14410,0.6153363258927805,-
Operations,2022,187980,155155,57185,88346,46190,19664,17480,5031,10923,41280,1.179898369152512,-
Marketing,2024,454060,454060,61745,83524,8782,14677,3098,13951,9748,88823,1.0868342800191026,-
HR,2022,363599,363599,100123,66625,18798,16210,19624,8203,15764,27881,0.5790934976116402,Additional training expenses
Operations,2024,118447,118447,107804,50327,24884,16924,11014,10894,12865,55925,1.1615570481304034,High overtime costs
Marketing,2024,255599,255599,188425,29579,14074,13487,7778,6794,6505,96003,1.1599736202767117,High overtime costs
Operations,2023,389252,389252,131055,31483,32349,16894,11119,18080,16860,79077,0.7214483248308909,Additional training expenses
Marketing,2024,486282,323346,139097,10503,31907,14830,13185,5761,17705,71457,0.9333994441688565,High overtime costs
HR,2023,276301,276301,68302,80880,26989,12642,14250,20574,18289,61168,0.5775279997492301,Additional training expenses
Operations,2022,483220,483220,142561,18947,44187,16728,3614,25464,7743,331,0.5589339802816923,-
Operations,2024,350477,184757,173507,19533,13624,5179,17231,5281,9654,33084,0.851256192662933,High overtime costs
IT,2024,433363,140197,77728,57576,12889,15023,14254,9071,18218,88164,0.5347746483175468,-
HR,2022,395173,92637,118598,50916,32256,6372,3616,17095,16469,80119,1.1124241269836275,Additional training expenses
Marketing,2022,351841,199438,21238,56923,15455,12434,2704,26009,12889,69087,1.1496667666143048,-
Operations,2024,329778,74276,101610,65162,16194,11561,3893,27362,6298,38866,0.5471144879963141,Increased maintenance
Operations,2022,437664,393090,164121,90729,26622,12014,11573,19337,9690,60252,0.5330993058692937,Additional training expenses
Marketing,2023,336705,336705,77193,76917,31988,10571,11263,14007,18408,7792,0.65499247475903,Increased maintenance
HR,2022,461249,387358,186656,17012,12570,18864,2994,25943,16442,28892,1.150970851238427,Additional training expenses
IT,2022,105063,105063,86634,25213,26487,8590,4533,22854,16106,25938,1.0383102388785317,-
IT,2024,338065,338065,34679,37563,5617,15171,1500,8287,8868,80884,0.9735484510765291,-
Operations,2023,69340,69340,54505,25212,46277,11598,18826,25643,19719,46978,1.0434430470959928,-
Marketing,2022,112781,112781,71341,70188,11285,13722,1725,19014,18383,89383,0.6396337473328714,Increased maintenance
Operations,2023,327045,327045,70374,56576,38224,12874,9757,27090,15456,42692,0.6796118540463774,-
Marketing,2023,60638,60638,66998,20711,5500,9486,14392,21894,16984,73110,0.7223400451194194,Increased maintenance
IT,2023,481812,204093,195931,19515,33994,14681,7341,19085,16072,20957,0.9235461394630684,Increased maintenance
HR,2024,267986,267986,147203,30193,41642,11701,16709,12961,16045,14111,0.9257540459068634,High overtime costs
Marketing,2022,356468,356468,53178,77667,28014,15372,4417,18532,12600,31767,0.6460254089862483,High overtime costs
IT,2024,400500,347203,178647,12424,9973,5523,10422,16897,16899,89968,0.8057090211565003,High overtime costs
Operations,2022,271668,51532,170401,54344,9774,13025,2666,11784,12200,77746,0.9830139222044254,Additional training expenses
Marketing,2022,344786,152666,127373,73092,20519,18161,9401,19196,16020,47986,0.7167335033920956,Increased maintenance
HR,2024,75378,75378,124139,97359,25580,3763,16003,26877,5215,1209,0.5528339552193673,-
Operations,2023,363011,131551,120290,69595,28099,14756,7152,21642,19251,16553,0.6381729853592156,High overtime costs
Operations,2023,385830,218828,191140,64626,42484,13491,17225,11588,11244,96693,0.6153149336786322,Additional training expenses
IT,2022,355019,121880,78951,19200,47588,9853,11628,14416,17757,31736,0.94235995238844,Increased maintenance
Marketing,2024,168171,156734,107629,60469,18302,19442,4778,23049,5179,86316,0.5479842910560173,Additional training expenses
Operations,2023,412205,412205,186243,33031,8234,2465,16169,6865,7686,15023,1.1193247027423978,-
HR,2023,264801,255714,159334,13216,11494,4451,18455,20952,12655,19819,0.5590709970601768,High overtime costs
Marketing,2022,114377,114377,194342,55594,19239,16061,17668,5765,10579,67413,0.9185368168186276,Increased maintenance
HR,2022,310339,310339,171857,10016,9498,15,17762,29640,5376,20436,1.1506728446183563,Additional training expenses
Operations,2024,104691,104691,190541,36378,49198,4410,6339,8449,15920,68784,0.5436960500938108,High overtime costs
HR,2022,361207,256260,88831,41734,10267,18964,19042,24089,11960,53025,0.7681734140108696,High overtime costs
IT,2023,141782,141782,101223,88886,17546,5135,19945,10765,13045,75919,0.7295620550741371,Increased maintenance
HR,2023,309896,309896,65643,24450,29479,15824,10079,20461,6827,8714,0.74094614171086,High overtime costs
Marketing,2023,128343,128343,23582,11473,41437,7948,18362,20336,12772,36320,0.9202180257883442,Additional training expenses
HR,2023,395215,216919,132781,35525,14657,18976,12919,9974,10852,32235,0.6834721668234356,Increased maintenance
HR,2024,448708,154599,181352,38572,27453,4789,13758,21579,12577,87525,0.5191260700992247,Increased maintenance
IT,2024,171399,171399,193661,52028,39729,8260,11353,6383,16418,68242,1.1735925255093405,High overtime costs
HR,2022,81357,81357,124004,47079,22259,8602,18608,20458,7327,81755,1.0241431900355238,-
HR,2022,344458,344458,60000,68967,33645,7232,14156,7435,14694,32668,0.5945893145649718,-
Operations,2022,491913,298751,122592,62047,17093,11051,10271,6450,18510,68068,0.8186097974567167,-
Operations,2024,120283,86509,21085,40110,13734,17302,16239,29798,18136,49973,0.5439052132486448,Additional training expenses
Marketing,2023,109567,109567,166672,11946,8516,15182,7089,12924,13944,36276,0.5194994319782462,Increased maintenance
Operations,2022,359150,359150,117994,31943,20032,4835,13014,21054,12584,49346,0.5332582120040201,High overtime costs
Operations,2023,287778,196486,137309,25740,25883,3343,17337,28442,16361,16849,1.0290444127357967,-
Operations,2022,191758,191758,127114,84712,30594,18870,5917,28700,13441,35793,0.8114467700869828,High overtime costs
Operations,2022,480665,178633,192668,54651,45001,10769,8261,10628,12272,57297,1.091077840640871,-
IT,2022,111606,111606,90410,47269,31004,16656,15350,21825,7820,48287,0.7136505728520672,-
Operations,2022,331035,167181,46825,87154,18170,819,9286,19788,9736,2537,1.042725216575673,High overtime costs
IT,2022,495331,112059,161985,48682,43715,2615,5742,7367,11470,32867,0.5545541905650715,Additional training expenses
IT,2023,151732,151732,104269,34601,21958,13148,4253,9865,14081,8307,0.9445757103351686,High overtime costs
Operations,2022,241791,241791,34332,42850,22842,6069,16932,14074,10601,29051,0.7524213395055459,High overtime costs
HR,2023,479939,91091,74895,51132,45163,5640,1839,12159,9866,54866,0.6937074486204289,Additional training expenses
IT,2024,342021,254196,155504,60150,31075,3984,18335,21834,19115,27447,1.0705763659054381,Additional training expenses
HR,2022,299465,50903,177642,15804,31067,7701,14661,28423,17194,10302,0.5363454837240424,High overtime costs
HR,2023,274589,274589,157175,95061,8172,19365,9250,10198,19258,71811,1.1646720224803566,Additional training expenses
Operations,2024,64026,64026,142046,62034,41195,3039,11743,12286,11520,80266,1.049881896103722,-
Marketing,2024,332566,239637,166972,55061,45566,10874,18891,24734,16915,84610,0.7489264917490573,Additional training expenses
Operations,2024,452460,367486,87567,37419,12736,16986,11682,7829,16278,99738,1.193933094018162,High overtime costs
Marketing,2023,345625,223795,82713,33746,36268,15071,12798,7613,7743,67438,0.6417424673823919,Additional training expenses
Marketing,2022,401324,85572,78639,88348,48475,12129,11151,6915,9576,35791,0.7816898093052144,Increased maintenance
Operations,2022,159384,159384,160060,77581,49511,14121,14198,12212,12183,13739,1.1194156754049338,Additional training expenses
Operations,2023,302771,302771,123603,35336,9206,12654,9074,14440,14948,92887,1.1977649593617685,-
Marketing,2022,108031,108031,98488,55952,24348,8447,7603,21911,15814,81221,0.6673789749411982,Increased maintenance
Operations,2023,451737,399207,112905,57143,41081,2487,19009,9819,14968,55214,1.020179384461339,-
Marketing,2022,444962,444962,22977,97204,46641,1358,5893,12879,17772,84513,0.7140105314448881,-
HR,2024,395271,395271,135650,69379,29854,17073,2153,29816,16596,39286,1.0365308694995243,Increased maintenance
Operations,2022,404398,404398,74641,44320,42226,8499,4761,15334,11400,37707,0.587698810360172,-
HR,2023,118232,118232,152340,46516,23032,6131,3566,13556,12755,64790,0.735318953642196,Increased maintenance
IT,2023,193084,147540,134465,69789,34272,3166,16643,22592,15266,7139,0.5524997098881383,-
HR,2024,392368,103533,74431,81114,47118,825,9700,9120,8096,28967,0.8443278441682014,High overtime costs
HR,2023,466673,205136,36756,71240,45952,1191,1844,15557,13021,28786,0.9910503869276237,-
Marketing,2022,286503,286503,171836,51798,40109,10326,7269,11476,13190,14828,0.7650312618252155,Increased maintenance
HR,2022,342104,308897,191457,96615,39606,14707,12206,7961,6085,7224,0.9303018475016422,High overtime costs
Operations,2024,137695,137695,166104,65920,10538,6785,11443,17849,19305,52078,0.8983607335767021,High overtime costs
Marketing,2023,180066,170388,196774,76473,49237,6813,1533,26160,8729,44173,0.706217562192159,Additional training expenses
IT,2024,188982,188982,162957,75326,14533,16917,5596,15339,9328,39630,0.8407447315306917,Additional training expenses
Operations,2022,314837,173482,29796,83131,35792,11059,9615,23801,6487,31371,0.5483133300994101,Additional training expenses
IT,2024,165313,165313,124583,10424,10477,1207,18404,6616,13540,76394,0.8219392958432234,High overtime costs
HR,2023,459074,304936,183935,73874,14363,10968,6358,13911,12453,34594,0.8207326460187794,Additional training expenses
Operations,2024,78810,78810,101014,13051,17264,1237,1691,26066,13605,48205,0.5201025376001913,High overtime costs
Operations,2023,70092,70092,183189,69481,16819,4943,8519,11825,18998,33793,0.8597112736815521,Additional training expenses
IT,2023,491916,120043,171825,73872,17191,10292,1588,23230,15645,66321,1.016385566169843,-
Operations,2022,108105,108105,40325,87774,11499,15030,16481,22755,16644,50952,0.8165765223856153,Additional training expenses
Operations,2022,211577,211577,158093,37786,49847,15465,4754,22850,12337,31114,0.952217864962464,Increased maintenance
Operations,2022,254300,254300,73096,78230,22668,13942,6173,21372,18601,27865,0.8726946780680072,Additional training expenses
HR,2023,340699,309859,164143,79131,13762,459,9289,13882,12102,5186,1.0496251422461396,High overtime costs
IT,2024,121934,121934,84649,11267,36292,8841,14507,5087,15755,72772,0.860118685679016,Increased maintenance
Operations,2023,122788,122788,28041,75957,24248,12769,8052,21308,6009,57704,0.7321263098748264,Increased maintenance
Marketing,2022,389401,163076,60058,72645,43813,16503,14419,23896,9382,39369,1.0792981387037919,High overtime costs
Marketing,2022,330083,149007,68263,29650,49944,10447,15320,17040,19642,52549,0.5473349902806347,Increased maintenance
Marketing,2024,455041,247270,124820,17017,16333,8509,5704,22629,11705,33994,0.7026193721125584,Increased maintenance
Marketing,2022,205223,205223,127645,19849,35652,16134,7911,27500,13973,68176,0.9140391020941256,Increased maintenance
HR,2022,178068,178068,195542,99049,46406,19610,1277,20874,8079,36417,1.099218561863085,Additional training expenses
Operations,2022,50036,50036,48223,72453,18070,16201,10903,14333,9452,95153,0.5504992860376433,Increased maintenance
IT,2024,406092,406092,53575,59117,30856,8585,14135,25615,15820,61700,0.5672370529181451,-
Operations,2023,395851,58367,196871,67247,36628,18936,16902,5977,17167,64276,0.6976695148816723,-
HR,2022,89051,89051,41661,54899,42807,13258,11715,11722,7186,38405,0.74120036793705,Additional training expenses
Marketing,2024,130738,130738,56432,51644,28423,3228,7815,20670,10630,35971,1.090476771692408,Additional training expenses
HR,2022,385740,385740,182219,77762,30212,16460,183,18217,16511,75528,1.1712322520222633,-
Operations,2024,110071,110071,49114,14388,40741,3410,9164,14002,18852,60740,0.5120600814501047,Increased maintenance
IT,2022,180613,65582,26030,77958,9626,408,2388,25891,14398,7293,0.5107492779627314,-
HR,2024,123601,123601,110051,49994,45767,14729,3827,8492,16988,42376,1.105367230212981,High overtime costs
IT,2022,79873,79873,198501,84805,7292,18651,2497,17504,9518,64314,0.5949318812873747,Increased maintenance
HR,2023,217720,194572,67743,87713,19859,5773,13562,9925,17684,24234,0.737535312884349,-
IT,2022,121468,121468,145756,87568,35585,3997,3479,22517,5304,57679,0.692649469155815,-
IT,2024,338614,71881,85615,82852,21807,7307,8757,20218,10138,96284,0.6973077512768954,Increased maintenance
Marketing,2022,246201,246201,67577,12843,8819,9179,1935,9865,8454,22322,0.7300143287054066,Increased maintenance
IT,2023,58328,58328,130436,38015,29087,5617,9018,29153,11082,72483,0.7352323288098215,Increased maintenance
Marketing,2022,187405,115285,22966,79647,6280,2701,11309,19184,15465,843,0.9341090875719952,Additional training expenses
Operations,2024,301519,109547,149356,55231,18241,3907,16733,13760,10349,49145,0.9401488762405297,High overtime costs
Operations,2024,171173,171173,133838,97579,47779,13841,16482,24384,5850,26216,0.8660243977026725,Additional training expenses
Marketing,2023,96638,96638,23728,56546,19147,17059,18153,14513,10727,62689,1.1009791030680556,-
Marketing,2024,323412,57933,188376,61055,24816,13407,1804,12666,13686,55714,1.0919702924672097,High overtime costs
HR,2022,251675,251675,152019,59577,6629,15323,9252,28088,8555,49916,0.6520521805078574,Additional training expenses
HR,2022,163920,163920,101380,45169,43267,19859,11701,15936,7674,43299,0.880547690264343,-
HR,2022,422523,148706,86130,51709,13634,6816,4170,17817,8430,64723,1.0486859640789121,Increased maintenance
Operations,2024,460261,450156,41414,39415,8014,16925,16785,12365,12540,7403,1.1068120357298303,-
HR,2022,221813,221813,113005,25685,15773,16548,8379,11632,8149,21013,0.6786300411511444,Increased maintenance
IT,2022,485986,418543,170511,25963,22881,17368,12176,6767,19662,58436,0.8458701045782279,Additional training expenses
IT,2022,57887,57887,111742,39698,13280,19045,16526,7074,8347,1604,0.8675190984539607,-
HR,2023,278978,224682,197857,72415,30555,617,12395,22525,8949,42229,0.9897468227539267,High overtime costs
IT,2024,74918,74918,56973,66400,46421,12105,220,6077,18493,12862,0.7311814658996527,-
Operations,2024,347641,54544,107091,65450,24936,5639,4240,25983,5504,11594,0.7054162595041862,Increased maintenance
IT,2024,405706,366956,157161,96962,32332,11616,7001,27504,17894,72042,0.9939182399909499,Additional training expenses
Operations,2023,242081,242081,82235,60711,49588,0,12292,29727,12765,98834,0.7795348385213812,High overtime costs
Marketing,2024,324073,232572,49400,81571,32077,12605,16771,9832,18700,68326,0.5028167632431073,High overtime costs
Marketing,2023,152201,152201,166477,82607,12637,14958,14903,13670,7654,59856,1.1564926053028608,Additional training expenses
Marketing,2023,260171,260171,137240,30578,29955,14844,11223,23069,8406,50404,0.6047518469944156,Additional training expenses
Marketing,2024,428710,411198,72763,38842,25880,10701,5991,20166,8517,36709,0.6040438811689868,-
IT,2022,340690,340690,181281,26531,21155,14970,559,24875,19844,77950,1.0728560610765734,-
HR,2022,259496,259496,168496,12170,8060,3079,1839,6371,15896,25233,0.7348519816871725,High overtime costs
IT,2024,218410,218410,126810,17297,45278,16766,1771,10459,16956,49009,0.729722714632785,-
Operations,2024,477499,468005,109523,14163,7950,10878,7676,8423,10412,21617,0.9356767851662038,Increased maintenance
IT,2023,132494,132494,129955,50794,28802,17311,9827,14888,19866,59944,0.5413270570589626,Increased maintenance
IT,2024,265859,265859,171628,51787,11063,16944,18452,25360,10257,71328,0.6658732080356524,-
Operations,2023,358710,150834,113137,67219,19205,1189,16900,6398,6579,32723,0.5372898143892701,High overtime costs
Marketing,2024,397608,184405,170402,34448,49690,17281,9412,17172,14953,84406,0.7040567632075718,-
Marketing,2022,283853,90002,154308,79152,31507,14974,660,18614,18656,48465,1.1089511109356212,Additional training expenses
Marketing,2022,178279,178279,50312,66437,12661,14216,19800,10361,17324,43415,1.1365327811023866,Additional training expenses
HR,2024,131991,131991,133687,38299,41189,14125,377,6401,5313,80460,0.7166056863103013,High overtime costs
Operations,2023,404824,404824,172263,51119,39758,2368,11474,6412,9315,84763,0.6313106874031011,High overtime costs
Operations,2022,340157,340157,129602,87093,18057,4953,159,27814,7687,91842,0.5946931917577627,Additional training expenses
IT,2023,102132,102132,56640,48648,25240,11237,15929,8230,12310,28618,0.7760933845693812,Additional training expenses
HR,2024,305069,218922,120171,24096,39250,4380,4174,12521,10523,19622,1.0784843993461626,Increased maintenance
Marketing,2024,209156,171548,82293,84279,40313,18782,2199,10849,14910,56852,1.0968644035392932,-
HR,2022,419999,81786,134124,17391,41988,12953,12980,15694,19220,38052,0.5321495889066045,High overtime costs
Operations,2024,202215,202215,187760,84891,17491,2588,10229,11056,9499,68225,0.6464601993879343,Additional training expenses
Operations,2022,141627,141627,105802,72830,38410,14815,10591,26106,16818,14899,0.6422191786270033,High overtime costs
IT,2023,172772,117261,112024,80783,18332,6356,13238,29493,9574,6954,1.0799011260112565,Additional training expenses
IT,2022,457395,330621,175194,50286,25302,9121,6276,22648,11865,91492,0.8194046211148787,High overtime costs
Operations,2022,279415,227605,192296,81826,39354,14695,18372,21179,12727,31089,0.7578766623689019,High overtime costs
Marketing,2023,191294,191294,157403,47595,23793,19610,8168,7259,14015,63015,1.169624123749968,Increased maintenance
Marketing,2022,309013,309013,131411,72740,11504,1403,865,21746,9315,39818,1.1477501082126649,Increased maintenance
HR,2022,376212,170522,62262,60929,33425,8391,9600,11276,7414,48848,0.808074680707001,Increased maintenance
Operations,2024,467165,455486,136214,42827,34811,2285,4915,27804,10315,87181,0.5898322782020303,Increased maintenance
Operations,2023,66116,66116,126435,36209,34746,8862,6241,26768,18271,78593,0.6197024407645695,Increased maintenance
Marketing,2022,232124,232124,106314,90752,22225,1728,16153,28132,9779,42150,0.5784587420818552,Additional training expenses
Marketing,2023,101369,101369,184998,83396,44696,11430,7135,20962,8820,73406,0.9763527185850365,-
Operations,2023,229889,85575,106287,88961,35973,1249,16197,14575,10806,83262,0.8882809618767731,Additional training expenses
IT,2022,415244,126614,139318,23806,42355,878,17938,12831,6969,50806,0.8896511341791087,-
Operations,2024,283982,143566,150134,35406,32196,11543,4047,22050,16295,70289,0.5688644983227337,Increased maintenance
Operations,2023,264275,264275,144958,44360,24290,18907,16515,7812,16258,72672,1.0552924692338501,High overtime costs
Marketing,2022,255383,254180,37528,90000,47954,16881,3679,7475,6759,93518,0.8749010246788662,High overtime costs
Marketing,2023,341799,341799,20068,48865,15124,16092,19460,28357,8125,25564,0.5636784374348507,-
IT,2024,238874,177192,89253,16458,42824,7702,12927,8100,11566,44505,1.0229915533532639,-
IT,2024,97632,69359,100754,19151,43750,7578,1521,19930,17244,49149,1.1869086732495475,Additional training expenses
HR,2024,457409,451914,195040,64869,7272,10668,19653,24785,12865,65657,0.8088263578233692,-
Operations,2022,261284,251464,110938,82024,11141,16922,16824,10015,18291,52347,0.5809582356703074,Additional training expenses
Marketing,2022,211848,211848,199695,34541,29678,12232,9933,23935,7281,67750,0.5709794082529753,Increased maintenance
IT,2024,486441,482708,62129,31803,14161,9092,1203,17091,18116,52143,0.5181156701624523,High overtime costs
HR,2022,241082,93634,133996,53183,6071,1466,19775,23535,18030,59022,1.0392787025173007,High overtime costs
HR,2024,263807,167255,81321,54776,22120,11207,14836,19238,10229,34837,0.9858006980170343,Additional training expenses
Marketing,2022,246523,92864,31526,72323,30941,7714,12310,28021,16226,54547,0.9089675028518204,-
Marketing,2024,229884,229884,177781,21170,44144,18117,6775,5387,6123,10076,1.035940526362698,Additional training expenses
HR,2023,331039,87355,127535,92966,29133,490,15953,27248,10831,77784,1.1995083679004281,-
IT,2024,464425,87690,35063,57284,8630,18093,9395,18192,6234,1962,0.7812935562774982,-
HR,2024,285892,285892,155795,19260,5227,18302,18271,24545,11876,20407,0.9940671575923044,-
Operations,2022,263408,212717,24213,17636,44433,10226,4270,7380,12570,90519,0.7640131237007761,Additional training expenses
Operations,2022,292718,265886,42797,46108,19008,8166,8389,29952,10956,94689,0.7464405200831845,Increased maintenance
Marketing,2022,242879,242879,104946,25941,24954,10903,11717,9335,5674,71978,1.0956440678331805,High overtime costs
IT,2022,73086,73086,108918,78971,45761,9678,4194,20065,10513,55572,0.9023341990392943,Additional training expenses
IT,2022,135637,135637,196289,38355,19675,14885,744,6280,15894,47919,0.584429291211244,Increased maintenance
Operations,2022,208279,71658,43655,82836,6619,6099,16836,5743,7305,84289,0.7824611985419034,High overtime costs
HR,2023,419478,289204,163659,97719,17885,16581,3262,12356,6268,92274,1.0575880236692603,Additional training expenses
Marketing,2024,201969,201969,42555,43733,7204,10159,11213,18128,10097,18703,1.1579986833386702,Additional training expenses
HR,2024,113083,113083,48071,17444,45510,13810,498,24870,8221,52391,0.9300996901054488,Increased maintenance
HR,2024,145028,145028,40239,98598,16694,9726,11879,13023,9719,5555,0.775949596562699,Additional training expenses
HR,2023,379101,279414,143441,24610,49586,18097,16524,18566,9194,1892,0.6763876741166157,High overtime costs
IT,2024,147551,147551,117138,76036,45342,9540,18098,22452,18414,39175,0.7954165886980162,Increased maintenance
Operations,2023,390650,56265,69151,14554,14373,8102,11012,28355,16986,76025,0.8959581344622551,Additional training expenses
IT,2023,188355,175611,22203,35545,16448,12754,17059,17885,17270,46541,0.5030917154029142,High overtime costs
Operations,2023,144024,144024,164707,60139,36210,3844,3505,18304,15251,80749,0.6880744749853379,Additional training expenses
Marketing,2024,393625,393625,152216,71971,30410,595,3602,17488,19204,47542,0.9700611578964486,Increased maintenance
Marketing,2023,312399,312399,183771,56059,34028,8330,9109,28910,6249,52990,0.9712607350911013,Additional training expenses
HR,2024,257627,257627,111663,16771,7764,17398,10014,13534,9029,89429,0.9571047054943355,High overtime costs
Operations,2024,65487,65487,149844,93035,48369,241,10795,16475,7860,67025,1.1649596518167864,-
Operations,2022,69346,69346,32213,79468,16467,18747,18114,22014,8513,95289,0.8979819622108357,Additional training expenses
Operations,2022,347194,347194,36944,36055,13199,15002,11620,5297,8219,26628,0.688809635547301,Additional training expenses
HR,2023,320888,245078,86723,47202,32095,17116,5976,13148,13370,36777,1.0681288850920958,High overtime costs
HR,2023,467972,228417,88947,37700,48179,134,13284,13889,7199,81518,0.7725641401723637,High overtime costs
Marketing,2024,111596,111596,185529,13567,37463,2626,7028,10316,9930,92012,0.6675033697882848,Increased maintenance
IT,2023,264469,159681,55191,77194,44007,10316,3718,22889,9677,67357,0.8897243170931433,-
Operations,2023,468362,355970,92264,52836,18617,7179,13254,15952,10472,93022,0.7023241017641827,Increased maintenance
Operations,2024,431784,105597,184816,36627,33304,1510,7088,18217,11708,78088,0.7773120266790688,High overtime costs
IT,2023,367176,367176,183958,48568,8329,13045,1624,24209,12841,83192,0.9852102908620592,High overtime costs
Operations,2023,354831,147375,119846,30760,36193,19180,1806,13570,18728,96350,1.1971636816142164,High overtime costs
HR,2024,227175,227175,139550,39985,16563,6907,8545,13897,18916,42846,0.9513121156759516,High overtime costs
HR,2024,203048,203048,104963,89944,10584,4512,2933,23798,12830,59176,0.6935359324892165,Increased maintenance
Operations,2022,375007,375007,20972,50785,13805,4302,940,10656,18881,76594,0.5633258783517999,-
HR,2024,443807,54383,119219,45583,30264,18027,7787,17193,17483,74424,0.7533773422395693,High overtime costs
HR,2022,56277,56277,157693,43738,14089,10960,3945,14286,19660,76092,0.5135174798873721,Increased maintenance
Operations,2023,374004,346505,69738,34204,18639,4406,8421,10147,7529,86134,0.8253283146353502,Increased maintenance
Marketing,2024,183332,130294,74777,88821,29685,19748,11674,16656,15447,50921,0.9619886369878906,Increased maintenance
IT,2024,290515,111331,34530,26643,16110,9591,14397,9444,14127,19225,0.8582571835237576,Increased maintenance
HR,2024,310577,145057,158426,80561,38928,9742,7738,18429,12470,89861,1.1056976114585302,Increased maintenance
Marketing,2023,246955,201601,66529,47126,49941,3411,16621,12547,18610,44084,0.8458350608162257,High overtime costs
HR,2022,336885,239646,122895,68126,26128,16466,3772,14423,14148,93856,0.8236660425012823,High overtime costs
HR,2023,431864,269699,71714,92424,45099,5696,12365,22830,7473,70899,0.7167740260952865,-
IT,2023,349355,349355,144750,55258,19684,13763,19165,7402,6085,81836,1.086329592782569,-
HR,2024,290464,146917,192304,44527,29419,11112,10798,10642,12362,1117,1.1325190697842598,-
IT,2022,308445,308445,140883,33898,6527,10475,7087,23210,9662,97831,1.1845431154150041,-
IT,2023,484758,314052,163622,89923,20220,18824,15775,12918,8434,7447,1.186846297265772,Additional training expenses
IT,2024,319013,319013,108196,66912,28702,5760,1984,25231,12728,60507,1.186296538258773,Increased maintenance
Marketing,2023,399760,80412,80385,56435,47873,18166,11287,21134,7665,17196,0.9983712400966094,Increased maintenance
Operations,2023,144515,144515,84736,13794,32757,14365,1052,22476,16184,98341,0.8938570314911773,Increased maintenance
Marketing,2024,200494,200494,50268,79126,18085,13894,5254,26061,14293,2460,0.620641124671665,Additional training expenses
Operations,2024,216685,216685,155362,24698,20205,6426,350,23104,18174,53490,1.0369442253301426,Increased maintenance
Operations,2022,238088,238088,50138,22332,25994,16088,912,22266,16168,20103,1.014416102688211,Increased maintenance
IT,2023,110110,52928,144650,19593,35945,12525,4445,5123,13475,56383,1.0896815103918316,Increased maintenance
HR,2024,269601,269601,33432,68132,25634,7906,10715,24874,18368,74582,0.8237157528469534,Increased maintenance
IT,2024,258994,211704,87058,21036,47966,8922,291,10797,9471,44906,1.1246950207612585,Increased maintenance
HR,2022,346177,82309,78175,89908,35569,14282,15778,5602,11519,75976,1.0030720414398804,-
Operations,2022,357357,321424,53329,63164,35175,17744,15223,25215,16982,69578,0.6197877364241637,Additional training expenses
IT,2024,310705,90449,163400,29351,11626,2078,467,26844,16011,59141,0.6448324618507879,High overtime costs
HR,2022,62938,62938,185319,68413,40623,17361,3277,20309,5787,49326,1.0699858647247207,-
Marketing,2024,180842,180842,26677,28059,8964,7793,14641,13496,17660,44023,0.7979853859923286,Additional training expenses
HR,2023,314418,314418,70357,37188,23058,1637,19959,28330,14048,80865,0.6743090626507642,Increased maintenance
IT,2022,396534,143057,75812,77852,30766,13916,11391,8228,14890,33461,0.7958035504915255,Additional training expenses
Marketing,2023,475031,279223,61616,91795,40160,10173,1064,14443,19579,74275,0.6129644135788774,Increased maintenance
HR,2023,200033,200033,65534,21829,21262,19684,4888,11508,11905,5976,1.124215675691679,Increased maintenance
HR,2023,70044,70044,84162,83673,44646,4004,15009,16909,12988,99426,0.5500775908326391,Additional training expenses
HR,2024,149372,124893,64711,34502,39689,16966,11655,23697,12206,52449,0.7472690606587862,High overtime costs
HR,2023,465191,337320,173877,37204,33965,15701,13111,16475,15872,4368,0.8898501315141918,Increased maintenance
HR,2023,326850,199481,115980,11265,15884,10168,18778,8289,7133,3023,1.1115519380915848,Increased maintenance
Marketing,2023,187046,187046,40143,45751,9433,8475,10249,11996,17386,74511,1.047084222257948,-
Operations,2024,388608,369111,128380,97821,23211,2398,19304,9844,7421,91321,0.5156965088327778,Additional training expenses
Marketing,2023,71213,50987,167089,34315,15691,1238,13650,23582,15997,61891,1.0776736999105392,Additional training expenses
Marketing,2023,51950,51950,61423,57457,36063,3466,6858,13877,18806,47664,0.9466840461161691,Additional training expenses
Marketing,2022,304043,248573,61713,56875,38484,5363,3,9235,8931,50680,0.5933438788224544,-
